permno,start,ending
43350,1982-09-16,2024-12-31
43449,1970-06-25,2024-12-31
43553,1979-05-03,2024-04-02
44206,2009-03-17,2024-12-31
44601,1987-12-24,2024-12-31
44644,1981-02-26,2024-12-31
45356,2010-08-27,2024-12-31
45751,1987-08-06,2024-12-31
45911,2015-03-12,2024-12-31
46578,1969-01-16,2024-12-31
46674,1973-11-15,2024-12-31
46703,2007-03-20,2024-12-31
46877,1975-06-12,2018-01-02
46886,1997-09-15,2024-12-31
47896,1976-07-01,2024-12-31
48486,2012-06-05,2024-12-31
48506,1979-12-27,2024-12-31
48653,1995-12-01,2024-12-31
48725,1969-07-16,2024-12-31
49015,1976-07-01,2023-09-15
49154,1976-12-09,2024-12-31
49373,1986-11-28,2020-09-18
49656,1995-03-31,2024-12-31
49680,1998-11-18,2024-12-31
50017,2007-12-21,2018-06-15
50876,1970-11-19,2024-12-31
52038,1986-12-18,2024-12-31
52090,2003-03-21,2024-12-31
52230,2000-12-05,2024-06-21
52329,2007-10-26,2024-12-31
52476,1997-06-19,2024-12-31
52695,1981-05-14,2024-12-31
52708,2005-10-04,2024-12-31
52978,1984-09-13,2024-12-31
53065,1992-10-30,2024-12-31
53613,1994-09-27,2024-12-31
54148,1984-04-12,2024-12-31
55976,1982-08-19,2024-12-31
56274,1983-09-01,2024-12-31
56573,1986-02-13,2024-12-31
57568,1984-10-04,2024-12-31
57665,1988-11-03,2024-12-31
57817,1986-08-07,2020-06-19
57904,1999-05-28,2024-12-31
58246,1998-01-30,2024-12-31
58413,2016-02-01,2024-12-31
58683,1994-07-13,2024-12-31
58819,2016-07-01,2024-12-31
59010,1986-08-21,2022-02-02
59176,1976-07-01,2024-12-31
59248,1976-07-01,2024-12-31
59300,2016-03-07,2024-12-31
59328,1976-12-09,2024-12-31
59408,1976-07-01,2024-12-31
59459,1976-07-01,2024-12-31
60097,1986-10-23,2024-12-31
60206,1982-09-16,2024-12-31
60442,1988-04-14,2024-12-31
60506,1980-10-02,2024-12-31
60599,1999-03-25,2023-03-17
60628,1980-11-06,2024-12-31
60871,1999-10-12,2024-12-31
60943,1999-10-18,2021-12-17
60986,1989-04-27,2023-09-15
61241,2017-03-20,2024-12-31
61399,1984-03-01,2024-12-31
61621,1998-10-01,2024-12-31
61735,1996-04-23,2024-12-31
61815,2007-10-08,2020-10-09
62092,1997-01-02,2024-12-31
62148,1980-11-06,2024-12-31
62308,1989-04-27,2024-12-31
64186,1982-04-08,2024-12-31
64282,1983-09-15,2024-09-30
64311,1982-06-03,2024-12-31
64390,1997-08-04,2024-12-31
64653,2005-08-19,2024-12-31
64936,1983-05-20,2024-12-31
64995,1994-03-02,2024-12-31
65402,2017-07-26,2024-12-31
65541,2016-09-23,2024-12-31
65875,1983-12-01,2024-12-31
65947,2009-01-30,2024-12-31
66093,1983-12-01,2024-12-31
66157,1995-10-23,2024-12-31
