# Stratified random sample of S&P 500 firms
# Random seed: 20260608
# Sample size: 80
# Stratification: FF12 industry, proportional to 2017 market cap
permno,start,ending,gvkey,sic,conm,ff12_num,ff12_name,mcap
85913,1998-05-21,2024-12-31,028930,7011,MARRIOTT INTL INC,12,Other,48740.643
48725,1969-07-16,2024-12-31,010867,4011,UNION PACIFIC CORP,12,Other,104721.1038
89533,2008-11-14,2024-12-31,149318,7990,WYNN RESORTS LTD,12,Other,17365.78154
76605,1997-01-02,2024-12-31,023809,5531,AUTOZONE INC,9,Shops,14708.070520000001
81540,2001-08-30,2024-12-31,031673,5122,CENCORA INC,9,Shops,18039.0035
23660,2001-03-01,2024-12-31,003062,7200,CINTAS CORP,9,Shops,19377.9135
81655,1995-05-30,2024-12-31,031846,5812,DARDEN RESTAURANTS INC,9,Shops,10798.6314
86356,2002-07-22,2024-12-31,114524,5961,EBAY INC,9,Shops,38834.46
79103,2009-03-27,2024-12-31,028180,5531,O'REILLY AUTOMOTIVE INC,9,Shops,20278.003080000002
77702,2000-06-08,2024-12-31,025434,5812,STARBUCKS CORP,9,Shops,76891.23599999999
80286,2014-01-24,2024-12-31,029736,5200,TRACTOR SUPPLY CO,9,Shops,9366.39925
92322,2016-04-18,2024-12-31,178704,5990,ULTA BEAUTY INC,9,Shops,13508.566200000001
55976,1982-08-19,2024-12-31,011259,5331,WALMART INC,9,Shops,314683.2
89525,2002-11-19,2024-12-31,003226,4841,COMCAST CORP,7,Telcm,186012.54539999997
60599,1999-03-25,2023-03-17,002884,4813,LUMEN TECHNOLOGIES INC,7,Telcm,17833.73892
65875,1983-12-01,2024-12-31,002136,4812,VERIZON COMMUNICATIONS INC,7,Telcm,215926.66468000002
90805,2010-03-01,2022-04-08,164296,4841,WARNER BROS DISCOVERY INC,7,Telcm,8638.68
