gvkey,call_year,n_surviving_calls
002136,2018,1
002663,2018,1
003062,2020,1
004818,2020,1
008762,2019,1
008762,2020,1
008762,2021,1
011032,2021,1
011259,2018,1
011259,2019,1
011259,2020,1
025434,2022,1
157855,2018,1
178704,2018,1
179621,2018,1
179621,2019,1
179621,2021,1
