gvkey,fyear,overconfidence,overconfidence_pca,overconfidence_2comp,z_net_tone,z_strong_modality,z_inverse_hedging,size,profitability,mtb,tangibility,cash,age,fin_constrained,sa_index,book_leverage_t1,debt_share_t1,debt_share_strict_t1,net_external_t1
001161,2018,0.2304016072152078,0.4940419542922528,0.360646859574695,0.2766596705338334,-0.0300888975037665,0.4446340486155567,8.424200324567073,0.12949956101843724,4.346422300263389,0.07638279192273925,0.254828797190518,46,0,-4.636886736540802,0.12076974120769741,0.0,,120.0
001161,2019,0.3508717284224744,0.398789678229843,0.3697991197827137,0.2989580482791718,0.3130169457019958,0.4406401912862556,8.704170559746386,0.12027206370272063,9.02193098871931,0.11695421366954213,0.25,47,0,-4.636886736540802,0.06382503905378263,0.0,,-193.0
001161,2020,0.3774672302026422,1.3798777905736033,0.8804196810299927,0.6997922065394063,-0.6284376714520585,1.061047155520579,9.100748695346088,0.17853157777281856,11.857220795161231,0.09473331845570185,0.25552332068734657,48,0,-4.636886736540802,0.058941943795796765,0.0,,-1895.0
001161,2021,0.3627333501639674,1.6281088806149802,0.9999032670582308,1.1222544400320047,-0.9116064836245596,0.877552094084457,9.426982836948033,0.31999355825750864,11.857220795161231,0.08607778404058297,0.29052258635961026,49,0,-4.636886736540802,0.04374075170168689,0.8557858376511226,,-3262.0
001161,2022,0.0497402261242731,0.6130965708309384,0.3345778704294432,0.0651870841046679,-0.5199350624860671,0.6039686567542185,11.121067360268281,0.08390056229653743,1.588713228765907,0.02919502811482687,0.08663805859721811,50,0,-4.636886736540802,0.045798040804301395,0.0,,-1144.0
001209,2018,0.4523980901003083,0.4263393135534569,0.4321112903198795,0.2828684258497855,0.4929716896611658,0.5813541547899735,9.86153471051546,0.14923116230322814,2.1108621619225896,0.5174441947409312,0.15517538050817853,68,0,-4.636886736540802,0.17558122347277066,0.0,,-360.5
001209,2019,0.6670932759680651,0.0061479960561506,0.3206691105467873,-0.181258937105562,1.3599416068106207,0.8225971581991367,9.849179191082785,0.1691038283675064,2.7571041187152905,0.5457271364317842,0.12747323521337922,69,0,-4.636886736540802,0.3303454715219421,0.9930830239964299,0.9924612561625361,4523.3
001209,2020,-0.0493970792568343,-0.817423451688629,-0.4402019026581213,-1.4474960704637028,0.7322125675457395,0.5670922651474601,10.133348491597863,0.13204600989331902,2.9460008987424753,0.4903550072511274,0.2526133857798438,70,0,-4.636886736540802,0.30601060344314057,0.9440633245382586,,-273.4
001209,2021,0.1211844470550227,-0.8852844578353243,-0.3928356641689371,-1.142299639157526,1.1492246695029429,0.3566283108196516,10.19836368556815,0.13166066003455054,2.4170930507982367,0.5145648418419014,0.21597069160660035,71,0,-4.636886736540802,0.3062193390848981,0.9754296626352642,0.949935149156939,385.50000000000006
001209,2022,-0.2881349381058366,-1.467618578986652,-0.8834380094269436,-1.3900527883258067,0.9024712045363774,-0.3768232305280805,10.210700156445844,0.13587520134154146,2.2048458209218684,0.5462956833844502,0.12141906253907313,72,0,-4.636886736540802,0.3447105694867589,0.9932207219931077,0.9917943107221007,2924.7999999999997
