gvkey,fyear,net_tone,strong_modality,inverse_hedging,n_calls_used,z_net_tone,z_strong_modality,z_inverse_hedging,overconfidence,overconfidence_pca
001161,2018,17.221644769984717,6.099294197181526,-5.117788954909614,4,0.2766596705338334,-0.03008889750376652,0.4446340486155567,0.23040160721520786,0.49404195429225284
001161,2019,17.371349755394107,6.850973592334944,-5.12718239332912,4,0.29895804827917183,0.31301694570199584,0.4406401912862556,0.35087172842247444,0.398789678229843
001161,2020,20.062436636208925,4.788426272899296,-3.668002925196316,4,0.6997922065394063,-0.6284376714520585,1.061047155520579,0.3774672302026422,1.3798777905736033
001161,2021,22.89872828142734,4.168057469292274,-4.099578071168128,4,1.1222544400320047,-0.9116064836245595,0.877552094084457,0.3627333501639674,1.6281088806149802
001161,2022,15.80187778839421,5.026134773337783,-4.7430385053464645,3,0.06518708410466799,-0.5199350624860671,0.6039686567542185,0.049740226124273125,0.6130965708309384
001209,2018,17.26332859266457,7.245220078580578,-4.796227168354141,4,0.28286842584978555,0.49297168966116583,0.5813541547899735,0.45239809010030835,0.42633931355345694
001209,2019,14.14730908250741,9.144585641260004,-4.228830511484267,4,-0.18125893710556204,1.3599416068106207,0.8225971581991367,0.6670932759680651,0.00614799605615067
001209,2020,5.646152014530278,7.769351165081495,-4.829770725636441,4,-1.4474960704637028,0.7322125675457395,0.5670922651474601,-0.04939707925683438,-0.817423451688629
001209,2021,7.695154314943839,8.68294506264407,-5.324775937765534,4,-1.142299639157526,1.1492246695029427,0.35662831081965163,0.12118444705502278,-0.8852844578353243
001209,2022,6.031809922586794,8.142355332183417,-7.049833024005379,4,-1.3900527883258067,0.9024712045363774,-0.37682323052808053,-0.2881349381058366,-1.467618578986652
001300,2018,17.60419326944623,5.2986568215233065,-7.001201497611887,4,0.3336398099966452,-0.39554172705910473,-0.3561463101664779,-0.13934940907631246,0.1077276892438105
001300,2019,17.20843170980157,3.420273592701349,-9.82291599230508,4,0.27469160109158997,-1.2529342081407238,-1.5558694160766169,-0.8447040077085836,-0.47063518828815265
