companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname,reason,best_speaker,ceo_candidates,rescue_reason
177031,1589592,2018-10-30,"General Electric Company, Q3 2018 Earnings Call, Oct 30, 2018",Audited Copy,Final,2018-11-02,3483,0,3.0,2018.0,005047,General Electric Company,low_match_score (34.78260869565217),Todd Ernst,John Flannery,still_low (34.8)
177031,1646466,2019-01-31,"General Electric Company, Q4 2018 Earnings Call, Jan 31, 2019",Audited Copy,Final,2019-02-05,5213,0,4.0,2018.0,005047,General Electric Company,low_match_score (30.0),H. Culp,John Flannery,still_low (31.6)
258181,2423243,2021-11-03,"Coterra Energy Inc., Q3 2021 Earnings Call, Nov 03, 2021",Edited Copy,Final,2021-11-03,3363,0,3.0,2021.0,020548,Coterra Energy Inc.,low_match_score (52.17391304347826),Daniel Guffey,Dan Dinges,still_low (52.2)
258181,2506240,2022-02-24,"Coterra Energy Inc., Q4 2021 Earnings Call, Feb 24, 2022",Edited Copy,Final,2022-02-24,3716,0,4.0,2021.0,020548,Coterra Energy Inc.,low_match_score (38.095238095238095),Blake Sirgo,Dan Dinges,still_low (38.1)
258458,1470448,2018-05-18,"Campbell Soup Company, Q3 2018 Earnings Call, May 18, 2018",Audited Copy,Final,2018-05-19,3495,0,3.0,2018.0,002663,The Campbell's Company,low_match_score (45.16129032258065),Keith McLoughlin,Denise Morrison,still_low (45.2)
258458,1551854,2018-08-30,"Campbell Soup Company, Q4 2018 Earnings Call, Aug 30, 2018",Audited Copy,Final,2018-09-11,5418,0,4.0,2018.0,002663,The Campbell's Company,low_match_score (45.16129032258065),Keith McLoughlin,Denise Morrison,still_low (45.2)
258458,1612827,2018-11-20,"Campbell Soup Company, Q1 2019 Earnings Call, Nov 20, 2018",Audited Copy,Final,2018-11-22,3541,0,1.0,2019.0,002663,The Campbell's Company,low_match_score (45.45454545454545),Ken Gosnell,Mark Clouse,still_low (45.5)
258823,2653554,2022-09-30,"Carnival Corporation & plc, Q3 2022 Earnings Call, Sep 30, 2022",Edited Copy,Final,2022-09-30,3619,0,3.0,2022.0,013498,Carnival Corporation Ltd.,low_match_score (42.857142857142854),David Bernstein,Arnold Donald,still_low (42.9)
258823,2712124,2022-12-21,"Carnival Corporation & plc, Q4 2022 Earnings Call, Dec 21, 2022",Edited Copy,Final,2022-12-21,3698,0,4.0,2022.0,013498,Carnival Corporation Ltd.,low_match_score (42.857142857142854),David Bernstein,Arnold Donald,still_low (42.9)
260725,1424078,2018-03-22,"Cintas Corporation, Q3 2018 Earnings Call, Mar 22, 2018",Audited Copy,Final,2018-03-23,2580,0,3.0,2018.0,003062,Cintas Corporation,low_match_score (36.36363636363637),Paul Adler,Scott Farmer,still_low (36.4)
260725,1504078,2018-07-19,"Cintas Corporation, Q4 2018 Earnings Call, Jul 19, 2018",Proofed Copy,Final,2018-07-20,3585,0,4.0,2018.0,003062,Cintas Corporation,low_match_score (36.36363636363637),Paul Adler,Scott Farmer,still_low (36.4)
260725,1561217,2018-09-25,"Cintas Corporation, Q1 2019 Earnings Call, Sep 25, 2018",Proofed Copy,Final,2018-09-26,2620,0,1.0,2019.0,003062,Cintas Corporation,low_match_score (36.36363636363637),Paul Adler,Scott Farmer,still_low (36.4)
260725,1635136,2018-12-20,"Cintas Corporation, Q2 2019 Earnings Call, Dec 20, 2018",Audited Copy,Final,2019-01-14,3466,0,2.0,2019.0,003062,Cintas Corporation,low_match_score (36.36363636363637),Paul Adler,Scott Farmer,still_low (36.4)
260725,1693291,2019-03-21,"Cintas Corporation, Q3 2019 Earnings Call, Mar 21, 2019",Audited Copy,Final,2019-03-26,3711,0,3.0,2019.0,003062,Cintas Corporation,low_match_score (36.36363636363637),Paul Adler,Scott Farmer,still_low (36.4)
260725,1772728,2019-07-16,"Cintas Corporation, Q4 2019 Earnings Call, Jul 16, 2019",Audited Copy,Final,2019-07-18,3512,0,4.0,2019.0,003062,Cintas Corporation,low_match_score (36.36363636363637),Paul Adler,Scott Farmer,still_low (36.4)
260725,1828484,2019-09-24,"Cintas Corporation, Q1 2020 Earnings Call, Sep 24, 2019",Proofed Copy,Final,2019-09-26,3351,0,1.0,2020.0,003062,Cintas Corporation,low_match_score (36.36363636363637),Paul Adler,Scott Farmer,still_low (36.4)
260725,1887160,2019-12-17,"Cintas Corporation, Q2 2020 Earnings Call, Dec 17, 2019",Audited Copy,Final,2020-01-06,3455,0,2.0,2020.0,003062,Cintas Corporation,low_match_score (36.36363636363637),Paul Adler,Scott Farmer,still_low (36.4)
