permno,start,ending,gvkey
34817,1985-04-18,2024-12-31,008030
34833,1982-12-09,2024-12-31,008068
35044,1998-08-28,2024-12-31,004674
35554,2004-02-27,2024-12-31,004699
36468,1964-05-14,2024-12-31,009667
37284,2007-09-27,2018-09-28,010466
37584,1998-04-29,2024-12-31,004885
38093,2016-05-31,2024-12-31,004973
38156,1975-02-06,2024-12-31,011506
38703,1976-07-01,2024-12-31,008007
38762,2000-11-02,2024-12-31,007974
39490,1997-07-28,2024-12-31,001678
39538,1982-03-11,2019-06-06,007116
39642,1972-09-14,2024-12-31,002111
39917,1963-12-05,2024-12-31,011456
40125,2017-04-04,2023-10-02,003336
40272,1976-03-04,2024-12-31,006078
40539,1985-09-26,2024-12-31,011672
41080,1965-01-07,2024-12-31,003650
41355,1985-11-07,2024-12-31,008358
42200,1985-05-09,2024-12-31,004145
42585,2008-11-06,2024-12-31,009777
42877,2015-07-01,2024-12-31,005783
42906,1997-08-06,2024-12-31,005786
43350,1982-09-16,2024-12-31,010016
43449,1970-06-25,2024-12-31,007154
43553,1979-05-03,2024-04-02,011060
44206,2009-03-17,2024-12-31,007970
44601,1987-12-24,2024-12-31,001913
44644,1981-02-26,2024-12-31,001891
45356,2010-08-27,2024-12-31,006268
45751,1987-08-06,2024-12-31,007065
45911,2015-03-12,2024-12-31,001327
46578,1969-01-16,2024-12-31,003121
46674,1973-11-15,2024-12-31,005125
46703,2007-03-20,2024-12-31,007063
46886,1997-09-15,2024-12-31,006304
47896,1976-07-01,2024-12-31,002968
48486,2012-06-05,2024-12-31,006565
48506,1979-12-27,2024-12-31,139665
48653,1995-12-01,2024-12-31,027914
48725,1969-07-16,2024-12-31,010867
49015,1976-07-01,2023-09-15,006742
49154,1976-12-09,2024-12-31,003813
49373,1986-11-28,2020-09-18,002269
49656,1995-03-31,2024-12-31,002019
49680,1998-11-18,2024-12-31,003735
50017,2007-12-21,2018-06-15,006788
50876,1970-11-19,2024-12-31,006730
52038,1986-12-18,2024-12-31,010247
52090,2003-03-21,2024-12-31,007146
52230,2000-12-05,2024-06-21,002312
52329,2007-10-26,2024-12-31,006216
52476,1997-06-19,2024-12-31,004423
52695,1981-05-14,2024-12-31,005256
52708,2005-10-04,2024-12-31,006669
52978,1984-09-13,2024-12-31,005518
53065,1992-10-30,2024-12-31,006136
53613,1994-09-27,2024-12-31,007343
54148,1984-04-12,2024-12-31,008823
55976,1982-08-19,2024-12-31,011259
56274,1983-09-01,2024-12-31,003362
56573,1986-02-13,2024-12-31,005878
57568,1984-10-04,2024-12-31,001988
57665,1988-11-03,2024-12-31,007906
57817,1986-08-07,2020-06-19,007922
57904,1999-05-28,2024-12-31,001449
58246,1998-01-30,2024-12-31,007982
58413,2016-02-01,2024-12-31,004605
58683,1994-07-13,2024-12-31,009882
58819,2016-07-01,2024-12-31,011554
59010,1986-08-21,2022-02-02,004990
59176,1976-07-01,2024-12-31,001447
59248,1976-07-01,2024-12-31,003505
59300,2016-03-07,2024-12-31,010894
59328,1976-12-09,2024-12-31,006008
59408,1976-07-01,2024-12-31,007647
59459,1976-07-01,2024-12-31,062689
60097,1986-10-23,2024-12-31,007228
60206,1982-09-16,2024-12-31,009778
60442,1988-04-14,2024-12-31,008245
60506,1980-10-02,2024-12-31,008253
60599,1999-03-25,2023-03-17,002884
60628,1980-11-06,2024-12-31,004598
60871,1999-10-12,2024-12-31,001632
60943,1999-10-18,2021-12-17,006649
60986,1989-04-27,2023-09-15,007875
61241,2017-03-20,2024-12-31,001161
61399,1984-03-01,2024-12-31,006829
61621,1998-10-01,2024-12-31,008402
61735,1996-04-23,2024-12-31,003221
61815,2007-10-08,2020-10-09,007912
62092,1997-01-02,2024-12-31,010530
62148,1980-11-06,2024-12-31,002574
62308,1989-04-27,2024-12-31,010614
64186,1982-04-08,2024-12-31,002547
64282,1983-09-15,2024-09-30,006733
64311,1982-06-03,2024-12-31,007923
64390,1997-08-04,2024-12-31,013341
64653,2005-08-19,2024-12-31,010096
64936,1983-05-20,2024-12-31,004029
64995,1994-03-02,2024-12-31,009783
65402,2017-07-26,2024-12-31,009771
65541,2016-09-23,2024-12-31,003504
65875,1983-12-01,2024-12-31,002136
65947,2009-01-30,2024-12-31,005543
66093,1983-12-01,2024-12-31,009899
66157,1995-10-23,2024-12-31,004723
66181,1988-03-03,2024-12-31,005680
66384,2009-07-01,2024-12-31,011399
66800,1980-02-14,2024-12-31,001487
67598,2008-03-31,2024-12-31,013125
68144,1988-05-05,2019-12-06,010187
69032,1995-09-22,2024-12-31,012124
69550,2004-04-23,2020-11-16,007637
69649,2017-03-20,2024-12-31,008898
69796,2005-07-05,2024-12-31,002710
70033,2000-01-31,2020-06-19,012389
70332,1997-07-28,2019-08-08,011923
70519,1988-05-26,2024-12-31,003243
70578,1989-01-12,2024-12-31,004213
71175,1994-03-11,2021-09-17,012726
71563,1997-12-04,2024-12-31,011856
72726,1997-08-15,2024-12-31,010035
