permno,start,ending,gvkey,sic,conm
10104,1989-08-03,2024-12-31,012142,7372,ORACLE CORP
10107,1994-06-07,2024-12-31,012141,7372,MICROSOFT CORP
10138,1999-10-13,2024-12-31,012138,6282,PRICE (T. ROWE) GROUP
10145,1925-12-31,2024-12-31,001300,9997,HONEYWELL INTERNATIONAL INC
10516,1981-07-30,2024-12-31,001722,2070,ARCHER-DANIELS-MIDLAND CO
10696,2001-04-02,2024-12-31,012635,7389,FISERV INC
10909,2010-04-30,2022-06-07,012850,7373,CERNER CORP
11308,1957-03-01,2024-12-31,003144,2086,COCA-COLA CO
11403,2017-09-18,2024-12-31,013421,7372,CADENCE DESIGN SYSTEMS INC
11404,1925-12-31,2024-12-31,003413,4931,CONSOLIDATED EDISON INC
11552,2006-11-06,2019-11-20,013599,2834,CELGENE CORP
11600,2008-11-14,2024-04-02,013700,3843,DENTSPLY SIRONA INC
11618,2008-09-15,2024-12-31,014225,5000,FASTENAL CO
11674,1925-12-31,2024-12-31,003897,4931,DTE ENERGY CO
11850,1925-12-31,2024-12-31,004503,2911,EXXON MOBIL CORP
11891,2017-07-26,2024-12-31,014418,7990,MGM RESORTS INTERNATIONAL
11955,1998-07-17,2024-12-31,014477,4953,WASTE MANAGEMENT INC
12052,1957-03-01,2024-12-31,005046,3721,GENERAL DYNAMICS CORP
12060,1957-03-01,2024-12-31,005047,3724,GE AEROSPACE
12062,2004-11-01,2024-12-31,014960,8071,LABCORP HOLDINGS INC
12073,2008-11-13,2022-04-01,016245,6020,PEOPLE'S UNITED FINL INC
12076,2015-07-29,2018-03-16,015520,5944,SIGNET JEWELERS LTD
12308,2016-09-08,2024-12-31,126136,4841,CHARTER COMMUNICATIONS INC
12345,2012-09-05,2024-12-31,294524,2820,LYONDELLBASELL INDUSTRIES
12369,2013-06-07,2024-12-31,005073,3711,GENERAL MOTORS CO
12431,2010-11-17,2024-12-31,005959,3585,TRANE TECHNOLOGIES PLC
12490,1957-03-01,2024-12-31,006066,7370,INTL BUSINESS MACHINES CORP
12542,2013-07-09,2022-10-11,100873,8700,NIELSEN HOLDINGS PLC
12558,2012-05-25,2024-12-31,006310,4923,KINDER MORGAN INC
12622,2015-01-27,2024-12-31,022260,8062,HCA HEALTHCARE INC
12650,2013-05-24,2021-12-13,006335,4011,KANSAS CITY SOUTHERN
12872,2011-07-01,2024-12-31,186989,2911,MARATHON PETROLEUM CORP
12981,2016-06-24,2022-12-16,188255,3430,FORTUNE BRANDS INNOVATNS INC
13035,2011-11-01,2024-12-31,189491,3561,XYLEM INC
13103,2012-12-24,2024-12-31,118122,3714,APTIV PLC
13142,2013-11-13,2020-05-11,198058,2300,CAPRI HOLDINGS LTD
13168,2011-12-21,2019-12-20,199356,7370,TRIPADVISOR INC
13356,2012-05-01,2024-12-31,170841,2911,PHILLIPS 66
13407,2013-12-23,2024-12-31,170617,7370,META PLATFORMS INC
13586,2012-10-01,2024-12-31,008463,3561,PENTAIR PLC
13688,1925-12-31,2019-01-17,008264,4931,PG&E CORP
13721,2013-01-02,2024-12-31,016101,2836,ABBVIE INC
13760,2017-10-13,2024-12-31,104432,4400,NORWEGIAN CRUISE LINE HLDGS
13788,2013-06-24,2024-12-31,013721,2834,ZOETIS INC
13856,1957-03-01,2024-12-31,008479,2080,PEPSICO INC
13901,1957-03-01,2024-12-31,008543,2111,ALTRIA GROUP INC
13911,2017-08-29,2024-12-31,017928,8731,IQVIA HOLDINGS INC
13928,1957-03-01,2024-12-31,008549,1311,CONOCOPHILLIPS
13936,2013-02-14,2022-09-16,008551,2300,PVH CORP
13963,2013-07-01,2024-12-31,018043,2711,NEWS CORP
13983,2016-10-03,2020-09-18,012151,2844,COTY INC
14008,1992-01-02,2024-12-31,001602,2836,AMGEN INC
14277,1965-03-04,2024-12-31,009465,1389,SLB LTD
14297,2013-12-02,2024-12-31,316056,3420,ALLEGION PLC
14338,2017-06-19,2024-12-31,005643,7011,HILTON WORLDWIDE HOLDINGS
14541,1925-12-31,2024-12-31,002991,2911,CHEVRON CORP
14593,1982-11-18,2024-12-31,001690,3663,APPLE INC
14601,2014-05-01,2018-06-04,010121,6111,NAVIENT CORP
14702,1995-03-16,2024-12-31,001704,3559,APPLIED MATERIALS INC
14704,2017-06-02,2022-03-01,162906,7370,IHS MARKIT LTD
14776,2015-11-18,2024-12-31,020686,6141,SYNCHRONY FINANCIAL
14889,2016-02-01,2024-12-31,021825,6020,CITIZENS FINANCIAL GROUP INC
15069,1925-12-31,2024-11-25,007017,1311,MARATHON OIL CORP
15202,1999-07-01,2024-12-31,011228,1400,VULCAN MATERIALS CO
15408,2015-07-06,2024-12-31,005568,2030,KRAFT HEINZ CO
15456,2016-04-04,2019-08-08,011584,5661,FOOT LOCKER INC
15488,2015-07-20,2024-12-31,024616,7389,PAYPAL HOLDINGS INC
15579,1959-03-25,2024-12-31,010499,3674,TEXAS INSTRUMENTS INC
15707,2015-11-02,2024-12-31,026156,3571,HEWLETT PACKARD ENTERPRISE
15720,1925-12-31,2024-12-31,009846,4911,EDISON INTERNATIONAL
15797,2015-11-30,2018-04-03,026304,7370,CSRA INC
16087,2016-07-05,2024-12-31,026590,3829,FORTIVE CORP
16432,1925-12-31,2019-02-26,005234,3011,GOODYEAR TIRE & RUBBER CO
16538,2017-01-17,2021-02-11,030923,1389,TECHNIPFMC PLC
16600,1957-03-01,2024-12-31,005597,2060,HERSHEY CO
16678,1957-03-01,2024-12-31,006502,5411,KROGER CO
16816,2017-08-07,2019-04-02,031774,6311,BRIGHTHOUSE FINANL INC
16851,2017-09-01,2024-12-31,004060,2820,DUPONT DE NEMOURS INC
17005,1957-03-01,2024-12-31,007241,8000,CVS HEALTH CORP
17144,1969-02-13,2024-12-31,005071,2040,GENERAL MILLS INC
17478,1957-03-01,2024-12-31,007163,7323,S&P GLOBAL INC
17750,1957-03-01,2024-12-31,006435,2621,KIMBERLY-CLARK CORP
17830,1957-03-01,2024-12-31,010983,3724,RTX CORP
18163,1957-03-01,2024-12-31,008762,2840,PROCTER & GAMBLE CO
18411,1944-06-07,2024-12-31,009850,4911,SOUTHERN CO
18542,1957-03-01,2024-12-31,002817,3531,CATERPILLAR INC
18729,1957-03-01,2024-12-31,003170,2844,COLGATE-PALMOLIVE CO
19166,2009-08-19,2024-12-31,004510,2870,FMC CORP
19350,1957-03-01,2024-12-31,003835,3523,DEERE & CO
19393,1957-03-01,2024-12-31,002403,2834,BRISTOL-MYERS SQUIBB CO
19502,1979-10-11,2024-12-31,011264,5912,WALGREENS BOOTS ALLIANCE INC
19561,1957-03-01,2024-12-31,002285,3721,BOEING CO
19583,2008-08-21,2024-12-31,029804,6282,INVESCO LTD
20415,2007-08-27,2019-09-25,006682,6211,JEFFERIES FINANCIAL GRP INC
20482,1957-03-01,2024-12-31,001078,3845,ABBOTT LABORATORIES
21020,2015-03-23,2024-09-20,001045,4512,AMERICAN AIRLINES GROUP INC
21178,1984-07-19,2024-12-31,006774,3760,LOCKHEED MARTIN CORP
21186,1957-03-01,2024-07-05,029830,2650,WESTROCK CO
21207,1969-05-15,2024-12-31,007881,1040,NEWMONT CORP
21371,1997-05-27,2024-12-31,002751,5122,CARDINAL HEALTH INC
21573,1925-12-31,2024-12-31,006104,2631,INTL PAPER CO
21776,1944-06-07,2024-12-31,008539,4911,EXELON CORP
21792,1985-07-25,2024-12-31,005742,4931,CENTERPOINT ENERGY INC
21936,1957-03-01,2024-12-31,008530,2834,PFIZER INC
22103,1965-01-07,2024-12-31,004321,3823,EMERSON ELECTRIC CO
22111,1973-05-31,2024-12-31,006266,2834,JOHNSON & JOHNSON
22293,1957-03-01,2024-12-31,003532,3357,CORNING INC
22509,1957-03-01,2024-12-31,008247,2851,PPG INDUSTRIES INC
22517,1995-11-27,2024-12-31,008455,4911,PPL CORP
22592,1957-03-01,2024-12-31,007435,9997,3M CO
22752,1957-03-01,2024-12-31,007257,2834,MERCK & CO INC
22779,1957-03-01,2024-12-31,007585,3663,MOTOROLA SOLUTIONS INC
23026,1957-07-10,2024-12-31,008099,4911,FIRSTENERGY CORP
23085,2009-01-02,2018-12-31,009445,4931,SCANA CORP
23229,1999-05-03,2024-12-31,003439,4931,CMS ENERGY CORP
23393,2015-12-29,2024-12-31,003026,2840,CHURCH & DWIGHT INC
23473,1997-12-18,2024-12-31,014824,6331,CINCINNATI FINANCIAL CORP
23536,2008-10-31,2024-12-31,011550,4931,WEC ENERGY GROUP INC
23579,1978-10-05,2024-12-31,010519,3721,TEXTRON INC
23660,2001-03-01,2024-12-31,003062,7200,CINTAS CORP
23712,1948-07-07,2024-12-31,008810,4931,PUBLIC SERVICE ENTRP GRP INC
23819,1957-03-01,2024-12-31,005439,1389,HALLIBURTON CO
23931,1949-07-06,2024-12-31,007977,4931,XCEL ENERGY INC
24010,1957-03-01,2024-12-31,007366,4911,ENTERGY CORP
24109,1951-09-06,2024-12-31,001440,4911,AMERICAN ELECTRIC POWER CO
24205,1976-07-01,2024-12-31,004517,4911,NEXTERA ENERGY INC
24328,2008-12-19,2018-11-12,004430,1311,EQT CORP
24643,1957-03-01,2024-12-31,028192,3728,HOWMET AEROSPACE INC
24766,1985-06-13,2024-12-31,007985,3812,NORTHROP GRUMMAN CORP
24942,1957-03-01,2020-04-03,008972,3812,RAYTHEON CO
24985,1991-09-20,2024-12-31,010860,4931,AMEREN CORP
25081,1995-12-01,2024-06-21,003231,6020,COMERICA INC
25232,2010-03-15,2024-12-31,008151,4923,ONEOK INC
