companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname,reason,best_speaker,ceo_candidates
24893,1726662,2019-05-02,"ANSYS, Inc., Q1 2019 Earnings Call, May 02, 2019",Audited Copy,Final,2019-05-09,3099,0,1.0,2019.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,1798763,2019-08-06,"ANSYS, Inc., Q2 2019 Earnings Call, Aug 06, 2019",Audited Copy,Final,2019-08-09,3603,0,2.0,2019.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,1861826,2019-11-07,"ANSYS, Inc., Q3 2019 Earnings Call, Nov 07, 2019",Audited Copy,Final,2019-11-12,3380,0,3.0,2019.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,1934019,2020-02-27,"ANSYS, Inc., Q4 2019 Earnings Call, Feb 27, 2020",Audited Copy,Final,2020-03-11,3933,0,4.0,2019.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,1982605,2020-05-07,"ANSYS, Inc., Q1 2020 Earnings Call, May 07, 2020",Audited Copy,Final,2020-05-12,3479,0,1.0,2020.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,2113916,2020-08-06,"ANSYS, Inc., Q2 2020 Earnings Call, Aug 06, 2020",Proofed Copy,Final,2020-10-21,3138,0,2.0,2020.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,2130450,2020-11-05,"ANSYS, Inc., Q3 2020 Earnings Call, Nov 05, 2020",Edited Copy,Final,2020-11-05,2964,0,3.0,2020.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,2289419,2021-02-25,"ANSYS, Inc., Q4 2020 Earnings Call, Feb 25, 2021",Proofed Copy,Final,2021-05-18,3643,0,4.0,2020.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,2272714,2021-05-06,"ANSYS, Inc., Q1 2021 Earnings Call, May 06, 2021",Edited Copy,Final,2021-05-06,3555,0,1.0,2021.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,2364650,2021-08-05,"ANSYS, Inc., Q2 2021 Earnings Call, Aug 05, 2021",Edited Copy,Final,2021-08-05,3534,0,2.0,2021.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,2425538,2021-11-04,"ANSYS, Inc., Q3 2021 Earnings Call, Nov 04, 2021",Edited Copy,Final,2021-11-04,3666,0,3.0,2021.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
24893,2505583,2022-02-24,"ANSYS, Inc., Q4 2021 Earnings Call, Feb 24, 2022",Edited Copy,Final,2022-02-24,3541,0,4.0,2021.0,063080,"ANSYS, Inc.",low_match_score (74.07407407407408),Ajei Gopal,"Ajei Gopal, Ph.D."
