gvkey,datadate,fyear,at,dltt,dlc,oibdp,ppent,che,prcc_f,csho,dltis,dltr,sstk,prstkc,sich
008530,2021-12-31,2021,181476.0,38705.0,2690.0,28224.0,17722.0,31069.0,59.05,5620.0,997.0,2004.0,0.0,0.0,2834
008530,2022-12-31,2022,197205.0,35482.0,3565.0,43113.0,19276.0,22732.0,51.24,5616.0,0.0,3298.0,0.0,2000.0,2834
008530,2023-12-31,2023,226501.0,64165.0,10877.0,13824.0,21864.0,12690.0,28.79,5646.0,30830.0,2569.0,0.0,0.0,2834
008543,2017-12-31,2017,43202.0,13030.0,864.0,9924.0,1914.0,1278.0,71.41,1901.259,0.0,0.0,0.0,2917.0,2111
008543,2018-12-31,2018,55638.0,11898.0,13848.0,9874.0,1938.0,1390.0,49.39,1874.058,0.0,864.0,0.0,1673.0,2111
008543,2019-12-31,2019,49271.0,27042.0,1000.0,10759.0,1999.0,2117.0,49.91,1857.982,16265.0,1144.0,0.0,845.0,2111
008543,2020-12-31,2020,47414.0,27971.0,1500.0,11611.0,2012.0,4946.0,41.0,1858.419,1993.0,1000.0,0.0,0.0,2111
008543,2021-12-31,2021,39523.0,26939.0,1105.0,11924.0,1553.0,4544.0,47.39,1823.176,5472.0,6542.0,0.0,1675.0,2111
008543,2022-12-31,2022,36954.0,25124.0,1556.0,12177.0,1608.0,4045.0,45.71,1785.534,0.0,1105.0,0.0,1825.0,2111
008543,2023-12-31,2023,38570.0,25112.0,1121.0,11899.0,1652.0,3691.0,40.34,1763.462,998.0,1566.0,0.0,1000.0,2111
008549,2017-12-31,2017,73362.0,17128.0,2575.0,9329.0,45683.0,10097.0,54.89,1177.107,0.0,7876.0,-63.0,3000.0,1311
008549,2018-12-31,2018,69980.0,14856.0,112.0,15188.0,45698.0,7625.0,62.35,1138.349,0.0,4995.0,121.0,2999.0,1311
008549,2019-12-31,2019,70514.0,15375.0,452.0,13372.0,43165.0,10317.0,65.03,1084.868,0.0,80.0,-30.0,3500.0,1311
008549,2020-12-31,2020,62618.0,15309.0,845.0,4589.0,40676.0,7950.0,39.99,1068.042,300.0,254.0,-5.0,892.0,1311
008549,2021-12-31,2021,90661.0,19213.0,1388.0,19783.0,65560.0,6743.0,72.18,1302.243,0.0,505.0,145.0,3623.0,1311
008549,2022-12-31,2022,93829.0,16616.0,572.0,33083.0,65402.0,9243.0,118.0,1223.856,2897.0,6267.0,362.0,9270.0,1311
008549,2023-12-31,2023,95924.0,18367.0,1267.0,23349.0,70735.0,6606.0,116.07,1178.102,3787.0,1379.0,-52.0,5400.0,1311
008551,2018-01-31,2017,11885.7,3061.3,19.5,1136.3,899.8,493.9,155.08,77.179,701.6,970.9,30.0,259.1,2300
008551,2019-01-31,2018,11863.7,2819.4,12.8,1242.9,984.5,452.0,109.11,75.403,0.0,155.4,20.4,325.2,2300
008551,2020-01-31,2019,13631.0,4235.8,431.5,1171.6,2702.6,503.4,87.17,72.293,1639.8,1725.4,2.5,345.1,2300
008551,2021-01-31,2020,13293.5,4952.3,467.8,255.9,2507.5,1651.4,85.26,71.159,679.7,19.9,3.9,117.3,2300
008551,2022-01-31,2021,12396.8,3537.2,425.0,1245.2,2255.1,1242.5,95.01,68.535,0.0,1056.5,26.7,361.3,2300
008551,2023-01-31,2022,11768.3,3324.3,516.3,1096.2,2199.7,551.4,89.9,62.709,456.4,492.5,0.0,418.6,2300
008551,2024-01-31,2023,11172.9,2673.1,870.5,1166.7,2076.4,708.4,120.26,57.633,0.0,116.5,17.9,570.3,2300
008762,2017-06-30,2017,120406.0,18038.0,13554.0,17505.0,19893.0,15137.0,87.15,2553.297,3603.0,4931.0,,5204.0,2840
008762,2018-06-30,2018,118310.0,20863.0,10423.0,17615.0,20600.0,11850.0,78.06,2498.093,5072.0,2873.0,,7004.0,2840
008762,2019-06-30,2019,115095.0,20395.0,9697.0,17390.0,21271.0,10287.0,109.65,2504.751,2367.0,969.0,,5003.0,2840
008762,2020-06-30,2020,120700.0,24189.0,11422.0,19488.0,21542.0,16181.0,119.57,2479.746,4951.0,2447.0,,7405.0,2840
008762,2021-06-30,2021,119307.0,23730.0,9108.0,21031.0,22494.0,10288.0,134.93,2429.706,4417.0,4987.0,,11009.0,2840
008762,2022-06-30,2022,117208.0,23443.0,8850.0,20869.0,21955.0,7214.0,143.79,2393.877,4385.0,2343.0,,10003.0,2840
008762,2023-06-30,2023,120829.0,24973.0,10451.0,21168.0,22690.0,8246.0,151.74,2362.12,3997.0,1878.0,,7353.0,2840
